"album","song","lyric"
"My Beautiful Dark Twisted Fantasy","Runaway",". . . . . (Look at you ). (Look at you ). (Ladies and gentlemen, la-ladies and gentlemen). (And I want to show you how you all look like beautiful stars tonight). (And I want to show you how you all look like beautiful stars tonight). (And I want to show you how you all look like beautiful stars tonight). And I always find, yeah, I always find somethin' wrong. You been puttin' up with' my shit just way too long. I'm so gifted at findin' what I don't like the most. So I think it's time for us to have a toast. Let's have a toast for the douchebags,. Let's have a toast for the assholes,. Let's have a toast for the scumbags,. Every one of them that I know. Let's have a toast to the jerkoffs. That'll never take work off. Baby, I got a plan. Run away fast as you can. She find pictures in my email. I sent this girl a picture of my dick.. I don't know what it is with females. But I'm not too good with that shit.. See, I could have me a good girl. And still be addicted to them hoodrats. And I just blame everything on you. At least you know that's what I'm good at. See, I always find. And I always find. Yeah, I always find somethin' wrong. You been puttin' up with my shit just way too long. I'm so gifted at findin' what I don't like the most. So I think it's time for us to have a toast. Let's have a toast for the douchebags,. Let's have a toast for the assholes,. Let's have a toast for the scumbags,. Every one of them that I know. Let's have a toast to the jerkoffs. That'll never take work off. Baby, I got a plan. Run away fast as you can. R-r-ru-ru-ru-run away. Run away from me, baby. (Look at, look at, look at, look at you). Run away from me, baby. (Look at you, look at you, look at you). Run away. Run away from me, baby. 24/7, 365, pussy stays on my mind. I-I-I-I did it, all right, all right, I admit it. Now pick your next move, you could leave or live with' it. Ichabod Crane with that motherfuckin' top off. Split and go where? Back to wearin' knockoffs, huh?. Knock it off, Neiman's, shop it off. Let's talk over mai tais, waitress, top it off. Fools like vultures wanna fly in your Freddy loafers. You can't blame 'em, they ain't never seen Versace sofas. Every bag, every blouse, every bracelet. Comes with a price tag, baby, face it. You should leave if you can't accept the basics. Plenty hoes in a baller-nigga matrix. Invisibly set, the Rolex is faceless. I'm just young, rich, and tasteless. P!. Never was much of a romantic,. I could never take the intimacy.. And I know I did damage,. 'Cause the look in your eyes is killing me,. I guess you've got another advantage. 'Cause you could blame me for everything.. And I don't know how I'm a manage,. If one day you just up and leave. Yeah, I always find somethin' wrong. You been puttin' up with my shit just way too long. I'm so gifted at findin' what I don't like the most. So I think it's time for us to have a toast. Let's have a toast for the douchebags,. Let's have a toast for the assholes,. Let's have a toast for the scumbags,. Every one of them that I know. Let's have a toast to the jerkoffs. That'll never take work off. Baby, I got a plan. Run away fast as you can. "
"My Beautiful Dark Twisted Fantasy","Hell Of A Life",". . . . I think I just fell in love with a porn star. Turn the camera on, she a born star. Turn the corners in a foreign car. Call the coroners do the CPR. She gave that old nigga a ulcer. Her bitter sweet taste made his gold teeth fake, uh. Make her knees shake, make a priest faint, uh. Make a nun cum, make her cremate, uh. Move downtown, cop a sweet space, uh. Livin' life like we won the sweepstakes, what!. We headin' to hell for heaven's sake, Huh!. Well I'mma levitate, make the devil wait, Yeah!. Have you lost your mind?. Tell me when you think we crossed the line. No more drugs for me, pussy and religion is all I need. Grab my hand and baby we'll live a hell of a life. Never in your wildest dreams, never in your wildest dreams. In your wildest. You could hear the loudest screams, comin' from inside the screen. You a wild bitch. Tell me what I gotta do to be that guy. Said her price go down, she ever fuck a black guy. Or do anal, or do a gangbang. It's kinda crazy that's all considered the same thing. Well I guess alotta niggas do gang bang. And if we run trains, we all in the same gang. Runaway slaves all on a chain gang. Bang bang bang bang bang. Have you lost your mind?. Tell me when you think we crossed the line. No more drugs for me, pussy and religion is all I need. Grab my hand and baby we'll live a hell of a life. One day I'm gon' marry a porn star. We'll have a big ass crib and a long yard. We'll have a mansion and some fly maids. Nothin' to hide, we both screwed the bride's maid. She wanna role play, 'til I roll over. I'mma need a whole day, at least rolled doja. What party is we goin' to on Oscar day. 'Specially if she can't get that dress from Oscar de. La Renta, they wouldn't rent her they couldn't take the shame. Snatched the dress off her back and told her, ""Get away."". How could you say they live they life wrong?. When you never fuck with the lights on. Have you lost your mind?. Tell me when you think we crossed the line. No more drugs for me, pussy and religion is all I need. Grab my hand and baby we'll live a hell of a life. I think I fell in love with a porn star. And got married in a bathroom. Honeymoon on the dance floor. And got divorced by the end of the night. That's one hell of a life. "
"My Beautiful Dark Twisted Fantasy","Blame Game",". . . . . Let's play the blame game, I love you, more. Let's play the blame game for sure.. Let's call her names, names, I hate you, more.. Let's call her names, names, for sure.. I'll call you bitch for short as a last resort and my first result.. You call me motherfucker for long,. At the end of it you know we both were wrong.. But I love to play the blame game, I love you more.. Let's play the blame game for sure.. Let's call out names, names, I hate you, more.. Let's call out names, names, for sure.. On a bathroom wall I wrote. ""I'd rather argue with you than to be with someone else"" (else, else, else). I took a piss and dismiss it like fuck it and I went and found somebody else. Fuck arguing or harvesting the feelings, I'd rather be by my fucking self. Till about 2am and I call back and I hang up and start to blame myself. Somebody help. You weren't perfect but you made life worth it. Stick around, real feelings might surface. Been a long time since I spoke to you in a bathroom gripping you up fuckin and choking you. What the hell was I supposed to do. I know you aint getting this type of dick from that local dude. And if you are I hope you are have a good time. Cause I definitely be having mine. And you aint finna see a mogul get emotional. Every time I hear bout other nigga's stroking you. Might say I hit you. He sitting there consoling you. Runnin my name through the mud. Who's provoking you. You should be grateful a nigga like me ever noticed you. Now you noticeable and cant nobody can control you. 1 A.M. and can't nobody get a hold of you. I'm calling your brothers phone like what was I supposed to do. Even though I knew, he never told the truth. He was just gon say whatever you gon told him too. At a certain point I had to stop asking questions. Chuck dirt on eachother like mud wrestlers. I heard he bought some coke with my money. Dat aint right girl. You getting blackmailed for that white girl. You always said Yeezy I ain't you're right girl. Probably find one of them ""I like art"" type girls. All of the lights, she was caught in the hype girl. And I was satisfied being in love with the lie. And who to blame, you to blame, me to blame. For the pain and it poured every time when it rained. Let's play the blame game.... Let's play the blame game, I love you, more. Let's play the blame game for sure.. Things used to be, now they not. Anything but us is who we are. Disguising ourselves as secret lovers. We've become public enemies. We walk away like strangers in the street. Gone for eternity. We erased one another. So far from where we came. With so much of everything, how do we leave with nothing. Lack of visual empathy equates the meaning of L-O-V-E. Hatred and attitude tear us entirely. Let's play the blame game, I love you, more. Let's play the blame game for sure.. Let's call out names, names, I hate you, more.. Let's call out names, names, for sure.. I can't love you this much. I can't love you this much. I can't love you this much. I can't love you this much. No, I can't love you this much. I can't love you this much. And I know that you are somehwere doing your thing. And when the phone called it just ring and ring. You aint pick up but your phone accidently called me back. And I heard the whole thing.. I heard the whole thing, the whole thing, the whole thing.... Ohh my God... Baby you done took this shit to another motherfucking level. Now a neighbourhood nigga like me aint supposed to be gettin no pussy like this. Damn, Damn! Who taught you how to get sexy for a nigga?. (Yeezy taught me). You never used to talk dirty, but now you got damn disgusting,. My, my God, where'd you learn that?. (Yeezy taught me). Look at you motherfucking butt ass naked with these motherfucking Jimmy Choos off. Who taught you how to put some motherfucking Jimmy Choos on?. (Yeezy taught me). Yo you took your game up a whole 'nother level, this is some Cirque 'u Soleil now!. You done went all porno on it, k. And I, and I love it... And I thank you, I thank you, my dick thanks you!. How did you learn, how.. how did your game come up?. (Yeezy taught me). I was fucking parts of your pussy I never fuck before. I was in there like oo I never been here before. I've never even seen this part of town before.. It's like you got this shit re-upholstered or something. What the fuck happened?. Who, who the fuck got your pussy all re-upholstered?. (Yeezy re-upholstered my pussy). You know what, I got to thank Yeezy.. And when I see that nigga Imma thank him.. Imma buy his album, Imma download that.. Imma shoot a bootlegger!. That's how good I feel about this nigga. Oww, I still can't believe you got me this watch. This motherfucker is the exact motherfucker I wanted. Even with the bezel this is the motherfucker I wanted. I saw this shit, I saw it. Twista had this shit on in The Source. I remember, Twista had this motherfucker on in The Source. That's right, that's right! Yo yo babe, yo yo this is the best birthday ever!. Where you learn to treat a nigga like this?. (Yeezy taught me). Yeezy taught you well, Yeezy taught you well.. "
"My Beautiful Dark Twisted Fantasy","Lost In The World",". . . . . I'm up in the woods, I'm down on my mind. I'm building a still to slow down the time. I'm up in the woods, I'm down on my mind. I'm building a still to slow down the time. I'm up in the woods, I'm down on my mind. I'm building a still to slow down the time. I'm lost in the world, I'm down on my mind. I'm new in the city, and I'm down for the night. Down for the night. Said she's down for the night. You're my devil, you're my angel. You're my heaven, you're my hell. You're my now, you're my forever. You're my freedom, you're my jail. You're my lies, you're my truth. You're my war, you're my truce. You're my questions, you're my proof. You're my stress and you're my masseuse. Mama-say mama-say ma-ma-coo-sah. Lost in this plastic life,. Let's break out of this fake ass party. Turn this into a classic night. If we die in each other's arms we still get laid in the afterlife. If we die in each other's arms we still get laid. (I'm lost in the world). Run from the lights, run from the night,. (I'm down on my mind). Run for your life,. I'm new in the city, and I'm down for the night. Down for the night. Down for the night. I'm lost in the world, been down for my whole life,. I'm new in the city but I'm down for the night. Down for the night. Down for the night. Who will survive in America?. Who will survive in America?. Who will survive in America?. I'm lost in the world, I'm down on my mind. I'm new in the city, and I'm down for the night. Down for the night. Said she's down for the night. I'm lost in the world, I'm down on my mind. I'm new in the city and I'm goin' for a ride. Goin' for a ride. I'm lost in the world, been down for my whole life. I'm new in the city but I'm down the for the night. Down for a night, down for a good time. Us living as we do upside down.. And the new word to have is revolution.. People don't even want to hear the preacher spill or spiel because God's whole card has been thoroughly piqued.. And America is now blood and tears instead of milk and honey.. The youngsters who were programmed to continue fucking up woke up one night digging Paul Revere and Nat Turner as the good guys.. America stripped for bed and we had not all yet closed our eyes.. The signs of truth were tattooed across our open ended vagina.. We learned to our amazement the untold tale of scandal.. Two long centuries buried in the musty vault, hosed down daily with a gagging perfume.. America was a bastard, the illegitimate daughter of the mother country whose legs were then spread around the world and a rapist known as freedom, free doom.. Democracy, liberty, and justice were revolutionary code names that preceded the bubbling bubbling bubbling bubbling bubbling in the mother country's crotch. What does Webster say about soul?. All I want is a good home and a wife. And our children and some food to feed them every night.. After all is said and done build a new route to China if they'll have you.. Who will survive in America?. Who will survive in America?. Who will survive in America?. Who will survive in America?. "
"My Beautiful Dark Twisted Fantasy","Who Will Survive In America",". . . . Us living as we do upside-down. And the new word to have is revolution. People don't even want to hear the preacher spill or spiel. Because God's whole card has been thoroughly piqued. And America is now blood and tears instead of milk and honey. The youngsters who were programmed. To continue fucking up woke up one night. Digging Paul Revere and Nat Turner as the good guys. America stripped for bed and we had not all yet closed our eyes. The signs of truth were tattooed across our often entered vagina. We learned to our amazement, the untold tale of scandal. Two long centuries buried in the musty vault. Hosed down daily with a gagging perfume. America was a bastard. The illegitimate daughter of the mother country. Whose legs were then spread around the world. And a rapist known as freedom, free-DOOM. Democracy, liberty, and justice were revolutionary code names. That preceded, the bubblin' bubblin' bubblin' bubblin' bubblin'. In the mother country's crotch. What does Webster say about soul?. ""All I want is a good home and a wife. And a children, and some food to feed them every night"". After all is said and done, build a new route to China if they'll have you. WHO WILL SURVIVE IN AMERICA?. WHO WILL SURVIVE IN AMERICA?. WHO WILL SURVIVE IN AMERICA?. WHO WILL SURVIVE IN AMERICA?. "
"My Beautiful Dark Twisted Fantasy","See Me Now",". . . . I know you see me now right now. (I know you see me now right now). I know you see me now right now. (You see). I know you see me now right now. (Right now). I know you see me now right now. I got my suit and tie. And I don’t know if y’all know. Well, maybe y’all do. Or maybe y’all don’t. But I don’t really care. It’s how we on it all the time. So I’ma get my money. Let’s go. Now, I’ma need you to kill the hypocrisy. This is an aristocracy. I’m Socrates, but my skin more chocolately. What’s up with who? That’s old news. I’m in a speedboat, in my boat shoes. Huh? I swear my whole collection’s so cool. I might walk in Nobu with no shoes. He just walked in Nobu like it was Whole Foods!. That nigga crazy, I told you!. Immature adult (uh huh), insecure asshole (what else?). And if you fall on the concrete, that’s yo’ ass fault. If you pass on a Kon beat, that’s yo’ last fault. Get what you ask for, I swear that’s yo’ ass, so. She got a big booty, but she couldn’t drop that ass low. ‘Til you take yo’ last ho, and rope up all the cash flow. When you gettin’ money, they be all up on yo’ ass, yo. When you gettin’ money Kons don’t let a nigga pass go. Straight to jail, yo, in a hell hole. Right next to Lucifer, tell ‘em I say hello. Ask him if I’ma be there soon and tell ‘im I said “Hell, no!”. Yo, what you say when your people get out of jail, huh?. My niggas is home. I guess I got everything. Everything I want. (Lets go shopping dog, lets celebrate). But I don’t. No matter how good it gets. (Free Weezy though). It’ll never be like before. No women in the crowd. Screamin’ and it’s loud. Doin’ things not allowed. And I swear it’s goin’ down right now. (You know what it is). I know one thing, my mama would be proud. And you see me lookin’ up. ‘Cause I know she’s lookin’ down right now. I know you see me now right now. (I know you see me now right now). I know you see me now right now. (Right now, right now). I know you see me now right now. (Right now). I know you see me now right now. Pour the champagne, let your watch show. Shorty got a man watch, wrist look colossal. I admit my first watch was a Fossil. Now I’m in the Louvre, lookin’ for fossils. Attention to detail is so uncanny. And the whip’s on the Sprewells, it’s so un-Camry. Somebody need to put us on camera. The world of Rollies and everyone families. Stay Jordan fresh, suits and Ferrari’s. Cute, your shorty watch Barneys, we at de Bonny’s. End up at Marley, Georgi, and service from Sergio. Da Kine Lamborghini, the chain throw off the vertigo. I know the flow just hit a hellafied vertical. This the Christ year, last year was magic, thirty-two. Lyrically, can’t none of y’all murder ‘Ye. ‘Cause y’all raps ain’t got no vertebrae. I got styled last June and she heard of me. I killed the fur last Paris, raised the murder rate. First of all, we all know the beats is. Like a mix between Fergie and Jesus. Imagine the direction of this immaculate conception. Every one of His Majesty’s swim parties is paegantries. Cannonball off the diving board when I am board. All my homies GD’s, but I am lord. Rap god, Greek mythology. And this life too crazy to think logically. Here’s something that you could use in analogy. My life is like a child’s illusions become reality. Now go get my throne. ‘Cause I don’t wanna stop. I just go in my zone. And I’ma make it hot. ‘Til it’s time to go. When it’s time to go. Where you tryna go?. You better act like you can see me now. (Exactly!). I know you see me now right now. (I know you see me now right now). I know you see me now right now. (Right now, right now). I know you see me now right now. (Right now). I know you see me now right now. I know you see me. I know you see me. I know you see me. It’s like I’m 3D. I know you see me now right now. (I know you see me now right now). I know you see me now right now. (Right now, right now). I know you see me now right now. (Right now). I know you see me now right now. I know you see me. I know you see me. I know you see me. It’s like I’m 3D. I know you see me now right now. (I know you see me now right now). I know you see me now right now. (Right now, right now). I know you see me now right now. (Right now). I know you see me now right now. Hey, feel like one of those old R. Kelly joints, right?. I bet they put me back on the cover of Ebony now. I know Jet Magazine callin’ right now. You lookin’ good today, too. I like that. You got your new suit on. And she got the extra cute on. I know you thinkin’ “This that Yeezy we all love”. I’m back, baby. We back, baby!. Uncle Charlie, by the way. And I’mma let you finish, but I got Beyonce on the track. That’s what it is. Black excellence, baby. We the elite. We the greatest in the world!. We the greatest in the world!. "
"Watch The Throne","No Church In The Wild",". . . . . Human beings in a mob. What’s a mob to a king?. What’s a king to a god?. What’s a god to a non-believer?. Who don’t believe in anything?. We make it out alive. All right, all right. No church in the wild. Tears on the mausoleum floor. Blood stains the coliseum doors. Lies on the lips of a priest. Thanksgiving disguised as a feast. Rollin’ in the Rolls-Royce Corniche. Only the doctors got this, I’m hidin’ from police. Cocaine seats. All white like I got the whole thing bleached. Drug dealer chic. I’m wonderin’ if a thug’s prayers reach. Is Pious pious cause God loves pious?. Socrates asks, “Whose bias do y’all seek?”. All for Plato, screech. I’m out here ballin’, I know y’all hear my sneaks. Jesus was a carpenter, Yeezy, laid beats. Hova flow the Holy Ghost, get the hell up out your seats. Preach. Human beings in a mob. What’s a mob to a king?. What’s a king to a god?. What’s a god to a non-believer?. Who don’t believe in anything?. We make it out alive. All right, all right. No church in the wild. I live by you, desire. I stand by you, walk through the fire. Your love is my scripture. Let me into your encryption. Coke on her black skin made a stripe like a zebra. I call that jungle fever. You will not control the threesome. Just roll the weed up until I get me some. We formed a new religion. No sins as long as there’s permission’. And deception is the only felony. So never fuck nobody wit’out tellin’ me. Sunglasses and Advil. Last night was mad real. Sun comin’ up, 5 a.m.. I wonder if they got cabs still. Thinkin’ ’bout the girl in all-leopard. Who was rubbin’ the wood like Kiki Shepard. Two tattoos, one read “No Apologies”. The other said “Love is cursed by monogamy”. That’s somethin’ that the pastor don’t preach. That’s somethin’ that a teacher can’t teach. When we die, the money we can’t keep. But we probably spend it all ’cause the pain ain’t cheap. Preach. Human beings in a mob. What’s a mob to a king?. What’s a king to a god?. What’s a god to a non-believer?. Who don’t believe in anything?. Will he make it out alive. All right, all right. No church in the wild. No church in the wild. No church in the wild. No church in the wild. "
"Watch The Throne","Lift Off",". . . . (All engines running). We gon’ take it to the moon, take it to the stars. How many people you know can take it this far?. I’m supercharged. I’m ’bout to take this whole thing to Mars. Now we gon’ take it to the moon, take it to the stars. You don’t know what we been through to make it this far. So many scars. ‘Bout to take this whole thing to Mars. Lift off. Lift off, takin’ my coat off. Showin’ my tattoos, I’m such a showoff (Huh?). I feel the pain and then rolled off. I got the whole city, they about to go off. How many niggas wit’ me up in this bitch?. How many people wanna roll with me now?. Like you know na na na, you know me by now. Know me, know me by now. We gon’ take it to the moon, take it to the stars. How many people you know can take it this far?. I’m supercharged. I’m ’bout to take this whole thing to Mars. Now we gon’ take it to the moon, take it to the stars. You don’t know what we been through to make it this far. So many scars. ‘Bout to take this whole thing to Mars. (Lift off, ahh, ahh). Like you know na na na, you know me by now. Know me, know me by now. You know me know me by now. Know me, know me by now…. Lift off. Rappers hear watch the throne. They gon be pissed off. Earth is boring to em. Shit is making my dick soft. When you Earnhart as me eventually you hit a big wall. 5-4-3-2 we need fuel. Lift off. We gon’ take it to the moon, take it to the stars. How many people you know can take it this far?. I’m supercharged. I’m ’bout to take this whole thing to Mars. Now we gon’ take it to the moon, take it to the stars. You don’t know what we been through to make it this far. So many scars. ‘Bout to take this whole thing to Mars. (20 seconds and counting). (T-minus 15 seconds, guidance is internal). (12, 11, 10, 9). (Ignition sequence start). (6, 5, 4, 3, 2, 1). (Zero, all engine running). (Lift off, we have a liftoff). (We gon’ take it to the moon, take it to the stars). (We gon’ take it to the moon, take it to the stars). (How many people you know can take it this far?). (Take it to the stars). (How many people you know can take it this far?). (Now we gon’, now we gon’, now we gon’…). "
"Watch The Throne","Niggas In Paris",". . . .  We're gonna skate to one song and one song only.. So I ball so hard muhfuckas wanna fine me. first niggas gotta find me. What’s 50 grand to a muhfucka like me. Can you please remind me?. Ball so hard, this shit crazy. Y’all don’t know that don’t shit phase me. The Nets could go 0-82 and I look at you like this shit gravy. Ball so hard, this shit weird. We ain’t even supposed to be here,. Ball so hard, since we here. It’s only right that we be fair. Psycho, I’m liable to go Michael. Take your pick, Jackson, Tyson, Jordan, Game 6. Ball so hard, got a broke clock, Rolleys that don’t tick tock. Audemars that’s losing time, hidden behind all these big rocks. Ball so hard, I’m shocked too,. I’m supposed to be locked up too. you escaped what I’ve escaped. You’d be in Paris getting fucked up too. Ball so hard, let’s get faded, Le Meurice for like 6 days. Gold bottles, scold models, spillin’ Ace on my sick J’s. So ball so hard, bitch behave, just might let you meet Ye,. Chi towns D. Rose, I’m movin’ the Nets to BK. Ball so hard muhfuckas wanna fine me. That shit cray . She said Ye can we get married at the mall?. I said look you need to crawl ‘fore you ball. Come and meet me in the bathroom stall. And show me why you deserve to have it all. Ball so hard. That shit cray (that shit cray), ain’t it Jay?. Ball so hard. What she order (what she order), fish filet. Ball so hard. Your whip so cold (whip so cold), this old thing. Ball so hard. Act like you’ll never be around motherfuckers like this again. Bougie girl, grab her hand. Fuck that bitch she don’t wanna dance. Excuse my French but I’m in France (I’m just sayin’). Prince William’s ain’t do it right if you ask me. Cause I was him I would have married Kate & Ashley. What's Gucci my nigga?. What's Louis my killa?. What's drugs my deala?. What's that jacket, Margiela?. Doctors say I’m the illest. Cause I’m suffering from realness. Got my niggas in Paris. And they going gorillas, huh!. I don't even know what that means.. (No one knows what it means, but it's provocative). No, it's not, it's gross. (It gets the people going!). Ball so hard muhfuckas wanna fine me. Ball so hard muhfuckas wanna fine me. You are now watching the throne. Don’t let me get in my zone . These other niggas is lyin’. Actin’ like the summer ain’t mine. I got that hot bitch in my home. You know how many hot bitches I own?. Don’t let me get in my zone . The stars is in the building. They hands is to the ceiling. I know I’m bout to kill it. How you know, I got that feeling. You are now watching the throne. Don’t let me into my zone . I’m definitely in my zone. "
"Watch The Throne","Otis",". . . . . It makes it easier, easier to bear, yeah. You won't regret it, no no. No, girls they don't forget it. LOVE is their home, happiness, yeah. Squee... squee... squee... squeeze her. Don't tease her, never leave her. Sounds so soulful, don't you agree?. OWW! Uhh. I invented swag. Poppin bottles, puttin supermodels in the cab. Proof.... I guess I got my swagger back, truth. New watch alert, Hublot's. Or the big face Roley, I got two of those. Arm out the window through the city, I maneuver slow. Cock back, snap back, see my cut through the holes; go. ""Damn Yeezy and Hov', where the hell you been?"". Niggaz talkin real reckless, stuntmen. I adopted these niggaz, Phillip Drummond 'em. Now I'm 'bout to make 'em tuck they whole summer in. They say I'm crazy, well I'm 'bout to go dumb again. They ain't see me cause I pulled up in my other Benz. Last week I was in my other other Benz. Throw your diamonds up cause we in this bitch another 'gain. Yeah, photo shoot fresh, lookin like wealth. I'm 'bout to call the paparazzi on myself. Uh, live from the Mercer. Run up on Yeezy the wrong way I might murk ya. Flee in the G-450 I might surface. Political refugee asylum can be purchased. Uh, everything's for sale. I got five passports, I'm never goin to jail. I made ""Jesus Walks"" I'm never goin to hell. Couture level flow, it's never goin on sale. Luxury rap, the Hermes of verses. Sophisticated ignorance, write my curses in cursive. I get it custom, you a customer. You ain't 'custommed to goin through customs, you ain't been nowhere, huh?. And all the ladies in the house got 'em showin off. I'm done, I'll hit you up maña-naaaaaaaaaa!. Welcome to Havana. Smokin Cubanas with Castro in cabanas. Viva México, Cubano. Dominicano, all the plugs that I know. Drivin Benzes, with no benefits. Not bad, huh? For some immigrants. Build your fences, we diggin tunnels. Can't you see we gettin money up under you?. Can't you see the private jets flyin over you?. Maybach bumper sticker read ""What would Hova do?"". Jay is chillin (uhh) 'Ye is chillin (uhh). What more can I say? (What more can I say?) We killin 'em. Hold up, before we end this campaign. As you can see we done bodied the damn lanes. Lord, please let them accept the things they can't change. And pray that all of their pain be champagne. AHHHHHHHHHHHHHHHH! Scream it! . "
"Watch The Throne","Gotta Have It",". . . . . Turn my headphones up. Louder. Uh-huh, uh-huh. (What you need, what, what you need). (What you need, what, what you need). Oh (I got what you need). Hello, hello, hello, White America, assassinate my character. Money matrimony, yeah, they tryna break the marriage up. Who gon’ act phonier? Who gon’ try to embarrass ya?. I’ma need a day off, I think I’ll call Ferris up. Bueller had a Mueller, but I switched it for a Miele. ‘Cause I’m richer, and prior to this shit was movin’ freebase. Had a conference with the DJs (Yeah), Puerto Rico three-days. (Parlay with them GDs, now they got our shit on replay). Sorry I’m in pajamas, but I just got off the PJ. And last party we had, they shut down Prive. (Ain’t that where the Heat play?) Yep (Niggas hate ballers these days). Ain’t that like LeBron James? (Ain’t that just like D-Wade). (Wait). (What you need, what, what you need). (I got what you need, what, what you). (What you need, what, what you need). (I got what you need). (Wassup, wassup, wassup, wassup). Wassup, ma’fucka, where my money at?. You gon’ make me come down to your house where yo’ mummy at. Mummy wrap the kids, have ‘em cryin’ for they mummy back. Dummy that your daddy is, tell ‘em I just want my racks. (Racks on racks on racks) Racks. (Maybachs on bachs on bachs on bachs on bachs) Who in that?. (Oh shit, it’s just blacks on blacks on blacks). (Hundred stack) How you get it? (Nigga, layin’ raps on tracks). I wish I could give you this feelin’, I’m planking on a million. I’m riding through yo’ hood, you can bank I ain’t got no ceiling. (Made a left on Nostrand Ave.) Right (We in Bed Stuy). Made a right on 79th, I’m coming down South Shore Drive. (I remain Chi-town) Brooklyn ‘til I die. (Take ‘em on home, take ‘em on home…). (Take ‘em on home, take ‘em on home…). (I got what you need, what, what you need). (Take ‘em on home). (What you need, what, what you need). (I got what you need, what, what you need). (Take ‘em on home, take ‘em on home…). (Take ‘em on home, take ‘em on home…). (Tryna hurt my name, huh?). "
"Watch The Throne","New Day",". . . . . Yeah, uh. (Sun in the sky). (You know how I feel). Me and the RZA connect. (Breeze driftin’ on by). Yeah, me and the RZA connect. (Breeze driftin’ on by). (It’s a new life for me). (For me, for me). (Oooh, oooh). (And I’m feelin’ good). And I’ll never let my son have an ego. He’ll be nice to everyone, wherever we go. I mean, I might even make ‘em be Republican. So everybody know he love white people. And I’ll never let ‘em leave his college girlfriend. And get caught up with the groupies in the whirlwind. And I’ll never let ‘em ever hit the telethon. I mean even if people dyin’ and the world ends. See, I just want ‘im to have an easy life, not like Yeezy life. Just want ‘im to be someone people like. Don’t want ‘im to be hated, all the time judged. Don’t be like your daddy that would never budge. And I’ll never let ‘im ever hit a strip club. I learned the hard way, that ain’t the place to get love. And I’ll never let his mom move to L.A.. Knowin’ she couldn’t take the pressure, now we all pray. (Sun in the sky). (You know how I feel). (Breeze driftin’ on by). (Breeze driftin’ on by). (It’s a new life for me). Me and the RZA connect. (For me, for me). Me and the RZA connect (Oooh, oooh). (And I’m feelin’ good). Sorry junior, I already ruined ya. ‘Cause you ain’t even alive, paparazzi pursuin’ ya. Sins of a father make yo’ life ten times harder. I just wanna take ya to a barber. Bondin’ on charters, all the shit that I never did. Teach ya good values, so you cherish it. Took me 26 years to find my path. My only job is cuttin’ the time in half. So at 13 we’ll have our first drink together. Black bar mitzvahs, mazel tov, mogul talk. Look a man dead in his eyes. So he know you talk truth when you speak it, give your word, keep it. And if the day comes I only see him on the weekend. I just pray we was in love on the night that we conceived him. Promise to never leave him even if his mama tweakin’. Cause my dad left me and I promise never repeat him. Never repeat him, never repeat him. (Sun in the sky). (You know how I feel). (Breeze driftin’ on by). (Breeze driftin’ on by). (It’s a new life for me). (For me, for me). (Oooh, oooh). (And I’m feelin’ good). (Sun in the sky, you know how I feel). (Breeze driftin’ on by, you know how I feel). (Breeze driftin’ on by, you know how I feel). (It’s a new life for me). (It’s a new dawn, it’s a new day). (It’s a new life for me). (Oooh, oooh). (And I’m feelin’…). (Birds flyin’ high, you know how I feel). "
"Watch The Throne","That's My Bitch",". . . . . Hello, can I speak to a, a, yeah you know who you are. Look, you had no idea what ya dealing with. Something on some of this realest shit. Something, something. Yeah. thats my bitch. Thats my bitch. Sh-shorty right there. Thats my bitch. Thats my bitch. I've been waiting for a long long time. Just to get off and throw my hands up high. And live my life. And live my life. Just to get off and throw my hands up high. I paid for them titties, get your own. It aint safe in the city, watch the throne. You say I care more about them basquion's, basquiats. She learning a new word, its yacht. Blew the World up as soon as I hit the club with her. Too Short called, told me ""I fell in love with her"". Seen by actors, ball players and drug dealers. And some lesbians that never loved niggas. Twisted love story True Romance. Mary Magdalene from a pole dance. I'm a freak huh, rock star life. The second girl with us, thats our wife. Hey boys and girls, I got a new riddle. Who's the new old perv thats tryna play second fiddle. No disrespect, I'm not tryna belittle. But my dick worth money I put Monie in the middle. I've been waiting for a long long time. Just to get off and throw my hands up high. And live my life. And live my life. Just to get off and throw my hands up high, high, high, high. Silly little vixen, mixes 'til morning. Not swerving, oh, yeah. Swear you never strolled on a bottle of that potion. Stop motion, ooh, yeah. Go harder than a nigga for a nigga go figure. Told me ""keep my own money"" if we ever did split up. How can somethin' so gangsta be so pretty in pictures?. With jeans and a blazer and some Louboutin slippers. Uh, Picasso was alive he woulda made her. Thats right nigga Mona Lisa can't fade her. I mean Marilyn Monroe, she's quite nice. But why all the pretty icons always all white. Back to my Beyonces. You deserve 3 stacks for the Andre. Call Larry Gagosian, you belong in museums. You belong in Vintage clothes watching the whole building. You belong with niggas who used to be known for dope dealing. You too dope for any of those civilians. Now shoot trigga, stop looking at her tits. Get ya own dog, ya heard. Thats my bitch. I've been waiting for a long long time. Just to get off and throw my hands up high. And live my life. And live my life. Just to get off and throw my hands up high. Silly little vixen, mixes 'til morning. Not swerving, oh, yeah. Swear you never strolled on a bottle of that potion. Stop motion, ooh, yeah. You have no idea what you're dealing with. Something on some of this realest shit. Pop some nines, so I give you the Fifth. Something, something, yeah. That's my bitch, That's my bitch. Sh-shorty right there? That's my bitch. That's my bitch. "
